
InfiniteGraph (TM) Pipeline Agent (igpipelineagent)
Version 3.1.0
Copyright (c) Objectivity, Inc 1989, 2013. All rights reserved.

Connected to whois...
[+I|tid:1|08:25:45]	: No pipeline work found... agent idle
[+I|tid:1|08:25:58]	: U,1,1377746758762,227
[+I|tid:1|08:25:58]	: U,0,1377746758763,228
[+I|tid:1|08:25:58]	: U,1,1377746758776,228
[+I|tid:1|08:25:58]	: U,0,1377746758776,229
[+I|tid:1|08:25:58]	: U,1,1377746758788,229
[+I|tid:1|08:25:58]	: U,0,1377746758789,230
[+I|tid:1|08:25:58]	: U,1,1377746758802,230
[+I|tid:1|08:25:58]	: U,0,1377746758803,231
[+I|tid:1|08:25:58]	: U,1,1377746758814,231
[+I|tid:1|08:25:58]	: U,0,1377746758815,232
[+I|tid:1|08:25:58]	: U,1,1377746758828,232
[+I|tid:1|08:25:58]	: U,0,1377746758828,233
[+I|tid:1|08:25:58]	: U,1,1377746758839,233
[+I|tid:1|08:25:58]	: U,0,1377746758840,234
[+I|tid:1|08:25:58]	: U,1,1377746758851,234
[+I|tid:1|08:25:58]	: U,0,1377746758852,235
[+I|tid:1|08:25:58]	: U,1,1377746758864,235
